iter	Passed	Remaining
0	147	146870
1	149	74740
2	152	50666
3	155	38616
4	157	31355
5	160	26513
6	162	23049
7	165	20461
8	167	18441
9	169	16827
10	172	15515
11	175	14409
12	177	13476
13	179	12673
14	182	11976
15	184	11369
16	187	10844
17	189	10348
18	191	9886
19	193	9469
20	195	9092
21	196	8734
22	197	8405
23	199	8105
24	200	7829
25	202	7568
26	203	7320
27	204	7091
28	205	6877
29	206	6677
30	207	6490
31	208	6310
32	209	6142
33	210	5982
34	211	5833
35	212	5690
36	213	5557
37	214	5432
38	215	5316
39	216	5204
40	217	5097
41	219	4996
42	220	4900
43	221	4809
44	222	4719
45	223	4637
46	224	4557
47	225	4478
48	226	4404
49	228	4332
50	229	4264
51	230	4197
52	231	4134
53	232	4072
54	233	4013
55	234	3955
56	235	3900
57	236	3847
58	237	3795
59	239	3744
60	240	3695
61	241	3649
62	242	3604
63	243	3560
64	244	3516
65	245	3477
66	246	3436
67	247	3390
68	248	3353
69	249	3316
70	250	3280
71	251	3245
72	252	3211
73	253	3178
74	255	3146
75	256	3114
76	257	3084
77	258	3054
78	259	3025
79	260	2997
80	261	2969
81	262	2942
82	263	2916
83	265	2890
84	265	2861
85	266	2837
86	267	2808
87	268	2785
88	269	2762
89	271	2740
90	272	2718
91	273	2697
92	274	2676
93	275	2655
94	276	2634
95	277	2615
96	278	2596
97	280	2577
98	281	2558
99	282	2540
100	283	2522
101	283	2500
102	285	2482
103	286	2465
104	287	2448
105	288	2432
106	289	2415
107	290	2399
108	291	2384
109	292	2368
110	293	2353
111	294	2338
112	295	2323
113	297	2308
114	298	2294
115	299	2278
116	300	2265
117	301	2251
118	302	2236
119	303	2223
120	304	2211
121	305	2198
122	306	2182
123	307	2170
124	308	2158
125	309	2146
126	310	2134
127	311	2120
128	312	2108
129	313	2097
130	314	2087
131	315	2077
132	317	2067
133	318	2056
134	319	2047
135	320	2036
136	321	2028
137	322	2017
138	324	2009
139	325	1999
140	326	1990
141	328	1982
142	329	1973
143	330	1964
144	331	1955
145	332	1947
146	334	1938
147	335	1929
148	336	1920
149	337	1912
150	338	1903
151	339	1894
152	340	1886
153	341	1878
154	343	1870
155	345	1866
156	346	1858
157	347	1849
158	348	1841
159	349	1834
160	350	1827
161	351	1819
162	352	1811
163	354	1804
164	355	1797
165	356	1789
166	357	1782
167	358	1775
168	359	1768
169	360	1761
170	361	1754
171	362	1747
172	364	1740
173	365	1733
174	366	1726
175	367	1720
176	368	1714
177	369	1707
178	370	1701
179	372	1695
180	372	1686
181	373	1679
182	374	1673
183	375	1667
184	377	1661
185	378	1655
186	379	1649
187	380	1643
188	381	1637
189	382	1631
190	383	1625
191	384	1620
192	386	1614
193	387	1609
194	388	1603
195	389	1597
196	390	1592
197	391	1586
198	392	1581
199	393	1575
200	395	1570
201	396	1564
202	397	1559
203	398	1554
204	399	1548
205	400	1543
206	401	1538
207	402	1533
208	403	1528
209	404	1523
210	406	1518
211	407	1513
212	408	1508
213	409	1503
214	410	1499
215	411	1494
216	412	1489
217	413	1484
218	415	1480
219	416	1475
220	417	1470
221	418	1466
222	419	1461
223	420	1457
224	421	1452
225	422	1448
226	423	1443
227	425	1439
228	426	1434
229	427	1430
230	428	1425
231	429	1421
232	430	1417
233	431	1413
234	432	1408
235	433	1404
236	435	1400
237	436	1396
238	437	1392
239	438	1388
240	439	1384
241	440	1380
242	441	1376
243	442	1372
244	444	1368
245	445	1364
246	446	1360
247	447	1356
248	448	1352
249	449	1348
250	450	1345
251	451	1341
252	452	1337
253	454	1333
254	455	1329
255	456	1326
256	457	1322
257	458	1318
258	459	1315
259	460	1311
260	461	1308
261	463	1304
262	464	1300
263	465	1297
264	466	1293
265	467	1290
266	468	1286
267	469	1282
268	470	1279
269	471	1275
270	472	1272
271	474	1268
272	475	1265
273	476	1261
274	477	1258
275	478	1255
276	479	1251
277	480	1248
278	481	1245
279	483	1242
280	484	1239
281	485	1235
282	486	1232
283	487	1229
284	488	1226
285	489	1223
286	491	1219
287	492	1216
288	493	1213
289	494	1210
290	495	1207
291	496	1204
292	497	1201
293	498	1198
294	500	1195
295	501	1192
296	502	1189
297	503	1186
298	504	1183
299	505	1180
300	506	1177
301	508	1174
302	509	1171
303	510	1168
304	511	1165
305	512	1162
306	513	1159
307	514	1156
308	515	1153
309	517	1150
310	518	1148
311	519	1145
312	520	1142
313	521	1139
314	522	1137
315	523	1134
316	525	1131
317	526	1128
318	527	1125
319	528	1123
320	529	1120
321	530	1117
322	531	1114
323	532	1111
324	534	1109
325	535	1106
326	536	1103
327	537	1101
328	538	1098
329	539	1095
330	540	1093
331	542	1090
332	543	1088
333	544	1085
334	545	1082
335	546	1080
336	547	1077
337	549	1075
338	550	1072
339	551	1070
340	552	1068
341	553	1065
342	555	1063
343	556	1060
344	557	1057
345	558	1055
346	559	1053
347	560	1050
348	561	1048
349	562	1045
350	564	1043
351	565	1040
352	566	1038
353	567	1035
354	568	1033
355	569	1030
356	570	1028
357	572	1025
358	573	1023
359	574	1021
360	575	1018
361	576	1016
362	577	1013
363	578	1011
364	580	1009
365	581	1006
366	582	1004
367	583	1002
368	584	999
369	585	997
370	586	995
371	587	992
372	589	990
373	590	988
374	591	985
375	592	983
376	593	981
377	594	978
378	596	976
379	597	974
380	598	971
381	599	969
382	600	967
383	601	965
384	602	962
385	603	960
386	605	958
387	606	956
388	607	953
389	608	951
390	609	949
391	610	947
392	611	945
393	612	942
394	614	940
395	615	938
396	616	936
397	617	934
398	618	931
399	619	929
400	620	927
401	622	925
402	623	923
403	624	921
404	625	919
405	626	916
406	627	914
407	629	912
408	630	910
409	631	908
410	632	906
411	633	904
412	634	902
413	635	900
414	637	898
415	638	895
416	639	893
417	640	891
418	641	889
419	642	887
420	643	885
421	645	883
422	646	881
423	647	879
424	648	877
425	649	875
426	650	873
427	651	871
428	652	869
429	654	867
430	655	865
431	656	863
432	657	860
433	658	858
434	659	856
435	660	854
436	661	852
437	663	850
438	664	848
439	665	846
440	666	844
441	667	842
442	668	840
443	669	838
444	671	836
445	672	834
446	673	833
447	674	831
448	675	829
449	676	827
450	677	825
451	679	823
452	680	821
453	681	819
454	682	817
455	684	816
456	685	814
457	686	812
458	687	810
459	689	808
460	690	806
461	691	804
462	692	803
463	693	801
464	694	799
465	695	797
466	697	795
467	698	793
468	699	791
469	700	789
470	701	788
471	702	786
472	703	784
473	705	782
474	706	780
475	707	778
476	708	776
477	709	774
478	710	773
479	711	771
480	712	769
481	714	767
482	715	765
483	716	763
484	717	761
485	718	760
486	719	758
487	720	756
488	722	754
489	723	752
490	724	750
491	725	749
492	726	747
493	727	745
494	729	743
495	730	741
496	731	740
497	732	738
498	733	736
499	734	734
500	735	732
501	736	730
502	738	729
503	739	727
504	740	725
505	741	723
506	742	722
507	743	720
508	744	718
509	745	716
510	747	714
511	748	713
512	749	711
513	750	709
514	751	708
515	752	706
516	754	704
517	755	702
518	756	700
519	757	699
520	758	697
521	759	695
522	760	694
523	762	692
524	763	690
525	764	688
526	765	687
527	766	685
528	767	683
529	769	681
530	770	680
531	771	678
532	772	676
533	773	675
534	774	673
535	775	671
536	776	669
537	778	668
538	779	666
